BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
102;Weiach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;147;Fr./Einw.;Franken pro Einwohner;
111;Bäretswil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;236;Fr./Einw.;Franken pro Einwohner;
112;Bubikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;233;Fr./Einw.;Franken pro Einwohner;
113;Dürnten;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;172;Fr./Einw.;Franken pro Einwohner;
114;Fischenthal;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;327;Fr./Einw.;Franken pro Einwohner;
115;Gossau;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;251;Fr./Einw.;Franken pro Einwohner;
116;Grüningen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;274;Fr./Einw.;Franken pro Einwohner;
117;Hinwil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;213;Fr./Einw.;Franken pro Einwohner;
118;Rüti;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;190;Fr./Einw.;Franken pro Einwohner;
119;Seegräben;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;134;Fr./Einw.;Franken pro Einwohner;
120;Wald;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;248;Fr./Einw.;Franken pro Einwohner;
121;Wetzikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;174;Fr./Einw.;Franken pro Einwohner;
131;Adliswil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;210;Fr./Einw.;Franken pro Einwohner;
132;Hirzel;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;311;Fr./Einw.;Franken pro Einwohner;
133;Horgen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;298;Fr./Einw.;Franken pro Einwohner;
134;Hütten;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;517;Fr./Einw.;Franken pro Einwohner;
135;Kilchberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;959;Fr./Einw.;Franken pro Einwohner;
136;Langnau a.A.;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;311;Fr./Einw.;Franken pro Einwohner;
137;Oberrieden;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;248;Fr./Einw.;Franken pro Einwohner;
138;Richterswil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;252;Fr./Einw.;Franken pro Einwohner;
139;Rüschlikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;354;Fr./Einw.;Franken pro Einwohner;
140;Schönenberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;254;Fr./Einw.;Franken pro Einwohner;
141;Thalwil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;201;Fr./Einw.;Franken pro Einwohner;
142;Wädenswil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;201;Fr./Einw.;Franken pro Einwohner;
151;Erlenbach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;458;Fr./Einw.;Franken pro Einwohner;
152;Herrliberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;541;Fr./Einw.;Franken pro Einwohner;
153;Hombrechtikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;220;Fr./Einw.;Franken pro Einwohner;
154;Küsnacht;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;359;Fr./Einw.;Franken pro Einwohner;
155;Männedorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;208;Fr./Einw.;Franken pro Einwohner;
156;Meilen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;277;Fr./Einw.;Franken pro Einwohner;
157;Oetwil a.S.;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;208;Fr./Einw.;Franken pro Einwohner;
158;Stäfa;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;235;Fr./Einw.;Franken pro Einwohner;
159;Uetikon a.S.;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;231;Fr./Einw.;Franken pro Einwohner;
160;Zumikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;490;Fr./Einw.;Franken pro Einwohner;
161;Zollikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;226;Fr./Einw.;Franken pro Einwohner;
171;Bauma;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;187;Fr./Einw.;Franken pro Einwohner;
172;Fehraltorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;208;Fr./Einw.;Franken pro Einwohner;
173;Hittnau;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;279;Fr./Einw.;Franken pro Einwohner;
174;Illnau-Effretikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;186;Fr./Einw.;Franken pro Einwohner;
175;Kyburg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;567;Fr./Einw.;Franken pro Einwohner;
176;Lindau;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;299;Fr./Einw.;Franken pro Einwohner;
177;Pfäffikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;207;Fr./Einw.;Franken pro Einwohner;
178;Russikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;317;Fr./Einw.;Franken pro Einwohner;
179;Sternenberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;703;Fr./Einw.;Franken pro Einwohner;
180;Weisslingen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;215;Fr./Einw.;Franken pro Einwohner;
181;Wila;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;371;Fr./Einw.;Franken pro Einwohner;
182;Wildberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;264;Fr./Einw.;Franken pro Einwohner;
191;Dübendorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;190;Fr./Einw.;Franken pro Einwohner;
192;Egg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;223;Fr./Einw.;Franken pro Einwohner;
193;Fällanden;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;236;Fr./Einw.;Franken pro Einwohner;
194;Greifensee;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;110;Fr./Einw.;Franken pro Einwohner;
195;Maur;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;249;Fr./Einw.;Franken pro Einwohner;
196;Mönchaltorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;221;Fr./Einw.;Franken pro Einwohner;
197;Schwerzenbach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;184;Fr./Einw.;Franken pro Einwohner;
198;Uster;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;224;Fr./Einw.;Franken pro Einwohner;
199;Volketswil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;153;Fr./Einw.;Franken pro Einwohner;
